카테고리: 자동차

주,쏘나타: (대한민국),싼타페: (대한민국),스타리아: (대한민국),코나: (대한민국),아이오닉5: (대한민국)
2024-11-10,42,71,11,18,7
2024-11-17,45,70,8,15,7
2024-11-24,52,76,9,18,7
2024-12-01,37,69,14,18,7
2024-12-08,49,66,10,22,7
2024-12-15,44,80,14,20,12
2024-12-22,50,70,15,25,8
2024-12-29,53,65,14,23,11
2025-01-05,53,78,14,30,11
2025-01-12,55,85,21,23,11
2025-01-19,44,86,14,20,8
2025-01-26,58,97,16,23,13
2025-02-02,45,67,14,21,12
2025-02-09,44,65,14,21,11
2025-02-16,55,76,8,25,12
2025-02-23,51,68,10,22,12
2025-03-02,48,73,15,27,8
2025-03-09,53,63,12,22,8
2025-03-16,37,71,14,26,10
2025-03-23,48,64,13,18,12
2025-03-30,47,52,12,19,11
2025-04-06,42,60,13,18,11
2025-04-13,50,55,13,21,13
2025-04-20,51,61,13,25,8
2025-04-27,47,59,13,26,7
2025-05-04,48,61,10,22,10
2025-05-11,36,56,15,24,8
2025-05-18,43,60,10,18,10
2025-05-25,41,65,10,21,12
2025-06-01,46,68,17,20,7
2025-06-08,39,69,13,21,9
2025-06-15,44,52,10,20,9
2025-06-22,44,72,9,19,12
2025-06-29,51,59,15,24,9
2025-07-06,47,70,20,26,12
2025-07-13,53,74,15,31,11
2025-07-20,52,85,17,24,8
2025-07-27,57,81,17,28,11
2025-08-03,60,77,18,27,15
2025-08-10,60,80,25,27,13
2025-08-17,55,86,19,30,13
2025-08-24,59,71,16,31,13
2025-08-31,54,79,15,28,12
2025-09-07,54,78,10,24,14
2025-09-14,55,60,14,24,10
2025-09-21,52,82,17,28,12
2025-09-28,58,77,13,21,14
2025-10-05,66,100,14,33,13
2025-10-12,50,82,20,28,12
2025-10-19,61,73,21,23,11
2025-10-26,46,76,20,25,8
2025-11-02,52,66,18,27,12
2025-11-09,48,84,18,24,11
