카테고리: 자동차

주,캐스퍼: (대한민국),마이티: (대한민국),코나 EV: (대한민국),캐스퍼 EV: (대한민국),아이오닉6: (대한민국)
2024-11-10,84,12,0,0,0
2024-11-17,82,27,0,0,0
2024-11-24,74,25,0,0,0
2024-12-01,81,20,0,0,0
2024-12-08,64,18,0,0,19
2024-12-15,94,29,0,0,15
2024-12-22,48,34,0,0,0
2024-12-29,77,26,0,0,19
2025-01-05,69,28,0,15,0
2025-01-12,74,30,0,0,17
2025-01-19,73,30,0,0,0
2025-01-26,95,26,0,16,0
2025-02-02,71,35,0,15,15
2025-02-09,86,33,0,0,16
2025-02-16,76,37,0,0,0
2025-02-23,95,27,0,0,0
2025-03-02,78,31,0,0,0
2025-03-09,80,19,0,0,14
2025-03-16,68,28,0,0,20
2025-03-23,75,25,0,12,12
2025-03-30,58,20,0,0,21
2025-04-06,81,28,0,0,24
2025-04-13,69,25,0,0,14
2025-04-20,51,15,0,0,17
2025-04-27,71,26,0,0,14
2025-05-04,61,21,0,0,13
2025-05-11,65,22,0,0,11
2025-05-18,71,26,0,0,18
2025-05-25,77,25,0,12,0
2025-06-01,62,18,0,0,12
2025-06-08,67,23,0,12,13
2025-06-15,70,30,0,0,13
2025-06-22,65,0,0,0,19
2025-06-29,78,19,0,0,30
2025-07-06,88,29,0,0,18
2025-07-13,84,28,20,0,15
2025-07-20,92,24,0,0,22
2025-07-27,95,45,0,0,45
2025-08-03,74,21,0,0,32
2025-08-10,95,22,0,17,16
2025-08-17,100,25,0,0,18
2025-08-24,86,28,0,0,26
2025-08-31,88,27,0,0,17
2025-09-07,74,24,0,0,23
2025-09-14,72,23,0,0,20
2025-09-21,85,35,0,0,17
2025-09-28,66,25,0,0,16
2025-10-05,87,17,0,0,22
2025-10-12,64,22,0,0,18
2025-10-19,59,27,0,0,16
2025-10-26,59,31,1,2,6
2025-11-02,76,27,3,8,18
2025-11-09,74,30,3,9,19
