카테고리: 자동차
주,캐스퍼: (대한민국),마이티: (대한민국),코나 EV: (대한민국),캐스퍼 EV: (대한민국),아이오닉6: (대한민국),현대 트럭: (대한민국),포터 EV: (대한민국),넥쏘: (대한민국),아이오닉9: (대한민국),베뉴: (대한민국),아반떼: (대한민국),팰리세이드: (대한민국),그랜저: (대한민국),포터: (대한민국),투싼: (대한민국),ST1: (대한민국),카운티: (대한민국),쏠라티: (대한민국),아반떼 N: (대한민국),아이오닉5 N: (대한민국),쏘나타: (대한민국),싼타페: (대한민국),스타리아: (대한민국),코나: (대한민국),아이오닉5: (대한민국)
2024-11-10,84,12,0,0,0,0,0,0,0,0,55,6,41,23,29,0,21,19,56,0,42,71,11,18,7
2024-11-17,82,27,0,0,0,0,0,0,78,0,67,8,48,23,33,0,0,24,92,0,45,70,8,15,7
2024-11-24,74,25,0,0,0,37,0,0,0,46,63,5,47,26,34,0,22,0,58,0,52,76,9,18,7
2024-12-01,81,20,0,0,0,35,0,0,0,0,71,15,46,29,25,0,33,0,66,0,37,69,14,18,7
2024-12-08,64,18,0,0,19,0,0,0,0,41,64,12,45,25,26,0,20,24,61,0,49,66,10,22,7
2024-12-15,94,29,0,0,15,39,0,0,0,34,65,15,54,23,30,0,36,0,56,0,44,80,14,20,12
2024-12-22,48,34,0,0,0,0,0,0,0,44,71,12,49,28,37,0,0,0,67,0,50,70,15,25,8
2024-12-29,77,26,0,0,19,0,0,41,0,32,72,9,55,26,37,0,26,0,71,0,53,65,14,23,11
2025-01-05,69,28,0,15,0,0,0,45,0,34,72,7,57,24,37,0,34,0,58,0,53,78,14,30,11
2025-01-12,74,30,0,0,17,0,0,30,0,35,70,11,54,26,34,0,25,26,72,0,55,85,21,23,11
2025-01-19,73,30,0,0,0,0,0,32,0,29,68,12,49,29,32,0,0,0,85,0,44,86,14,20,8
2025-01-26,95,26,0,16,0,0,0,0,0,37,87,14,66,22,37,29,25,0,85,0,58,97,16,23,13
2025-02-02,71,35,0,15,15,26,0,0,62,0,61,10,52,24,33,0,0,23,45,0,45,67,14,21,12
2025-02-09,86,33,0,0,16,25,0,0,49,0,74,8,54,28,30,0,0,18,85,0,44,65,14,21,11
2025-02-16,76,37,0,0,0,0,0,0,44,42,73,10,50,26,31,0,18,0,84,0,55,76,8,25,12
2025-02-23,95,27,0,0,0,46,43,0,0,0,70,8,52,22,31,0,0,22,65,0,51,68,10,22,12
2025-03-02,78,31,0,0,0,0,0,0,28,38,71,8,56,22,36,0,34,26,62,0,48,73,15,27,8
2025-03-09,80,19,0,0,14,0,28,35,32,31,72,8,46,28,38,0,27,0,67,0,53,63,12,22,8
2025-03-16,68,28,0,0,20,0,0,0,36,39,73,7,51,24,31,0,33,19,87,0,37,71,14,26,10
2025-03-23,75,25,0,12,12,0,0,25,38,26,69,7,47,23,31,0,36,0,52,0,48,64,13,18,12
2025-03-30,58,20,0,0,21,0,0,56,0,46,60,6,42,23,27,0,30,22,66,0,47,52,12,19,11
2025-04-06,81,28,0,0,24,0,0,35,44,30,57,7,44,21,28,0,23,0,72,0,42,60,13,18,11
2025-04-13,69,25,0,0,14,30,0,46,29,50,81,7,45,23,28,0,0,28,79,0,50,55,13,21,13
2025-04-20,51,15,0,0,17,0,0,62,0,42,73,10,47,22,30,0,30,18,65,0,51,61,13,25,8
2025-04-27,71,26,0,0,14,0,0,49,0,39,68,7,47,19,32,0,0,0,65,0,47,59,13,26,7
2025-05-04,61,21,0,0,13,39,0,38,0,33,76,7,43,19,36,0,29,0,87,0,48,61,10,22,10
2025-05-11,65,22,0,0,11,0,0,47,41,32,62,5,46,20,30,0,24,24,61,0,36,56,15,24,8
2025-05-18,71,26,0,0,18,0,0,35,36,42,71,7,47,24,29,0,27,19,92,0,43,60,10,18,10
2025-05-25,77,25,0,12,0,29,0,50,29,35,63,5,46,23,27,18,28,33,56,0,41,65,10,21,12
2025-06-01,62,18,0,0,12,31,0,40,38,0,63,7,48,23,27,0,22,20,57,0,46,68,17,20,7
2025-06-08,67,23,0,12,13,29,0,81,0,0,59,7,40,22,31,0,0,24,63,0,39,69,13,21,9
2025-06-15,70,30,0,0,13,29,0,47,0,44,62,7,44,23,31,0,34,0,66,0,44,52,10,20,9
