카테고리: 자동차

주,EV4: (대한민국),EV6: (대한민국),니로: (대한민국),레이 EV: (대한민국),타스만: (대한민국)
2024-11-10,0,28,36,0,13
2024-11-17,0,24,35,0,12
2024-11-24,0,23,35,0,11
2024-12-01,12,24,33,0,0
2024-12-08,0,23,42,0,0
2024-12-15,0,27,43,0,0
2024-12-22,0,24,45,0,13
2024-12-29,0,25,37,0,0
2025-01-05,21,32,35,0,12
2025-01-12,16,33,39,0,0
2025-01-19,27,35,39,0,0
2025-01-26,0,35,46,0,0
2025-02-02,14,35,31,0,10
2025-02-09,27,25,32,0,51
2025-02-16,94,31,46,0,38
2025-02-23,100,44,33,0,24
2025-03-02,48,34,41,0,19
2025-03-09,91,39,35,0,22
2025-03-16,40,27,40,0,18
2025-03-23,30,29,36,15,19
2025-03-30,37,30,23,0,23
2025-04-06,35,31,31,0,26
2025-04-13,38,40,32,0,17
2025-04-20,30,28,42,0,28
2025-04-27,33,34,17,0,24
2025-05-04,33,28,33,0,17
2025-05-11,47,31,31,0,19
2025-05-18,31,33,27,0,15
2025-05-25,38,33,41,0,18
2025-06-01,27,32,37,0,22
2025-06-08,32,38,32,0,21
2025-06-15,32,27,44,0,28
2025-06-22,29,33,39,0,21
2025-06-29,54,30,41,12,15
2025-07-06,43,32,38,0,21
2025-07-13,41,36,38,0,22
2025-07-20,24,42,39,11,15
2025-07-27,54,45,45,0,23
2025-08-03,28,49,55,0,18
2025-08-10,42,32,51,0,23
2025-08-17,46,38,58,0,22
2025-08-24,45,35,44,0,12
2025-08-31,38,55,41,0,15
2025-09-07,30,39,53,0,14
2025-09-14,36,40,46,0,22
2025-09-21,28,46,42,0,14
2025-09-28,26,41,49,0,25
2025-10-05,25,36,52,0,32
2025-10-12,19,31,47,0,17
2025-10-19,19,33,48,0,15
2025-10-26,18,32,39,1,18
2025-11-02,27,33,43,7,13
2025-11-09,26,33,43,7,13
