카테고리: 자동차

주,봉고 EV: (대한민국),PV5: (대한민국),K9: (대한민국),기아 버스: (대한민국),EV9: (대한민국)
2024-11-10,0,22,26,0,30
2024-11-17,0,22,37,0,53
2024-11-24,0,0,40,0,54
2024-12-01,0,0,39,0,38
2024-12-08,0,0,35,0,32
2024-12-15,0,0,36,0,22
2024-12-22,0,0,20,0,30
2024-12-29,0,0,43,0,39
2025-01-05,0,0,36,0,36
2025-01-12,0,0,47,0,26
2025-01-19,0,0,34,0,24
2025-01-26,0,0,42,0,38
2025-02-02,0,0,41,0,43
2025-02-09,0,0,36,0,52
2025-02-16,0,0,39,0,52
2025-02-23,0,24,39,0,47
2025-03-02,0,25,50,0,33
2025-03-09,0,0,43,0,33
2025-03-16,0,17,39,0,40
2025-03-23,0,15,34,0,26
2025-03-30,0,19,27,0,38
2025-04-06,0,33,25,0,31
2025-04-13,0,36,26,0,30
2025-04-20,0,0,32,0,36
2025-04-27,0,0,28,0,37
2025-05-04,0,15,39,15,23
2025-05-11,0,0,28,0,36
2025-05-18,0,0,16,0,36
2025-05-25,0,0,35,0,26
2025-06-01,0,15,39,0,27
2025-06-08,0,100,25,0,27
2025-06-15,0,56,46,0,30
2025-06-22,0,34,40,0,24
2025-06-29,0,48,28,0,32
2025-07-06,0,36,57,0,40
2025-07-13,0,37,33,0,38
2025-07-20,0,54,40,0,44
2025-07-27,0,36,36,0,45
2025-08-03,0,35,41,0,34
2025-08-10,0,40,50,0,33
2025-08-17,0,74,56,0,30
2025-08-24,0,55,39,0,34
2025-08-31,0,21,35,0,32
2025-09-07,0,44,45,0,24
2025-09-14,0,22,39,0,32
2025-09-21,0,23,46,0,0
2025-09-28,0,28,48,0,23
2025-10-05,0,35,65,0,48
2025-10-12,0,43,53,0,40
2025-10-19,0,48,50,0,19
2025-10-26,0,61,37,2,34
2025-11-02,4,44,47,7,33
2025-11-09,3,47,45,4,30
