카테고리: 자동차

주,현대 트럭: (대한민국),포터 EV: (대한민국),넥쏘: (대한민국),아이오닉9: (대한민국),베뉴: (대한민국)
2024-11-10,0,0,0,0,0
2024-11-17,0,0,0,78,0
2024-11-24,37,0,0,0,46
2024-12-01,35,0,0,0,0
2024-12-08,0,0,0,0,41
2024-12-15,39,0,0,0,34
2024-12-22,0,0,0,0,44
2024-12-29,0,0,41,0,32
2025-01-05,0,0,45,0,34
2025-01-12,0,0,30,0,35
2025-01-19,0,0,32,0,29
2025-01-26,0,0,0,0,37
2025-02-02,26,0,0,62,0
2025-02-09,25,0,0,49,0
2025-02-16,0,0,0,44,42
2025-02-23,46,43,0,0,0
2025-03-02,0,0,0,28,38
2025-03-09,0,28,35,32,31
2025-03-16,0,0,0,36,39
2025-03-23,0,0,25,38,26
2025-03-30,0,0,56,0,46
2025-04-06,0,0,35,44,30
2025-04-13,30,0,46,29,50
2025-04-20,0,0,62,0,42
2025-04-27,0,0,49,0,39
2025-05-04,39,0,38,0,33
2025-05-11,0,0,47,41,32
2025-05-18,0,0,35,36,42
2025-05-25,29,0,50,29,35
2025-06-01,31,0,40,38,0
2025-06-08,29,0,81,0,0
2025-06-15,29,0,47,0,44
2025-06-22,0,0,39,0,29
2025-06-29,38,0,49,0,48
2025-07-06,0,0,28,28,0
2025-07-13,0,0,47,0,38
2025-07-20,32,0,0,28,49
2025-07-27,34,0,38,0,66
2025-08-03,34,0,71,0,46
2025-08-10,0,0,100,0,41
2025-08-17,42,0,59,0,75
2025-08-24,50,0,72,26,34
2025-08-31,0,0,67,30,52
2025-09-07,0,0,28,0,58
2025-09-14,0,0,0,0,39
2025-09-21,27,0,29,0,64
2025-09-28,45,0,0,30,35
2025-10-05,34,0,47,47,74
2025-10-12,28,0,30,0,67
2025-10-19,36,0,34,31,42
2025-10-26,7,0,6,9,41
2025-11-02,30,5,28,26,44
2025-11-09,28,8,37,25,46
